[[[000B19F9]]] "Тамильский"
[[[002C4BC5]]] "Translate ReadMe"
[[[0043553B]]] "Я БЫ"
[[[0045FA4E]]] "Игбо"
[[[00462640]]] "Коса"
[[[00463838]]] "Мари"
[[[004667CF]]] "Ория"
[[[0046B783]]] "Урду"
[[[00470600]]] "Шона"
[[[0047FBC8]]] "идиш"
[[[006243F4]]] "Translation TS File not found"
[[[00AB4893]]] "Accept Translations"
[[[00F12299]]] "README File is Empty"
[[[011F005C]]] "Filipino - fil"
[[[01794A2A]]] "Ошибка: невозможно проанализировать автоматически определяемый язык"
[[[017CCD53]]] "Не удалось найти входную папку"
[[[01854B10]]] "Каннада"
[[[019FBDB5]]] "Не удалось прочитать из базы данных"
[[[01B52A90]]] "Ошибка синтаксического анализа"
[[[01BC5E79]]] "Сербский (кириллица)"
[[[01C35BB8]]] "Керетаро Отоми"
[[[01C608B9]]] "Башкирский"
[[[01DA50B0]]] "Папка не найдена"
[[[01EEC298]]] "Этот файл был создан, чтобы проверить, доступна ли эта папка для записи"
[[[021F3538]]] "Klingon - tlh"
[[[0230477D]]] "Клингон"
[[[02329580]]] "Проверить папку вывода"
[[[02404D35]]] "Ошибка перемещения базы данных"
[[[02412E64]]] "Help File could not be created"
[[[0261F2AE]]] "Ошибка: невозможно извлечь ключ Bing из веб-версии."
[[[02784C26]]] "украинец"
[[[027E1239]]] "малайский"
[[[029985A5]]] "Cantonese - yue"
[[[02DB445E]]] "Serbian Latin -sr-Latin"
[[[02EF6E69]]] "Ошибка шифрования: MyOrgSettings :: onRunOnStartup ()"
[[[02F14D00]]] "Translate Help"
[[[0307C46B]]] "Не могу удалить файл"
[[[0321CEFA]]] "испанский язык"
[[[033C7584]]] "Internet is down, trying to reconnect"
[[[033F0D09]]] "английский"
[[[033F1989]]] "валлийский"
[[[035DE017]]] "Logging"
[[[038786E8]]] "Маратхи"
[[[0394373D]]] "Udmurt - udm"
[[[03AFBDCE]]] "Ошибка: не удалось найти учетные данные Bing в веб-версии."
[[[03B55609]]] "Зулусский"
[[[03CD920F]]] "Ошибка при открытии файла для чтения"
[[[03D47369]]] "Кхмерский"
[[[03DB7367]]] "MainWindow"
[[[04309965]]] "Ошибка при запуске lupdate"
[[[0467C063]]] "Пушту"
[[[046A6460]]] "Тонга"
[[[046B7CEA]]] "Файл:"
[[[046C8B40]]] "Хауса"
[[[046D4603]]] "Хмонг"
[[[0471E2D9]]] "Белорусский"
[[[047FA7C2]]] "иврит"
[[[04838638]]] "маори"
[[[04893BA4]]] "Help File not found"
[[[048D0478]]] "хинди"
[[[049CE9E2]]] "Help Folder"
[[[04A2CE1B]]] "Ошибка: невозможно создать файл"
[[[0511D473]]] "движок не поддерживает TTS"
[[[05379745]]] "Невозможно открыть базу данных"
[[[053A0909]]] "румынский"
[[[053D1F29]]] "Боснийский"
[[[0542F36E]]] "runProcces timeout .."
[[[056284E9]]] "Люксембургский"
[[[0567ACF0]]] "Выбранный язык пользовательского интерфейса"
[[[05795939]]] "Армянский"
[[[05945889]]] "словацкий"
[[[0594CB15]]] "Log File"
[[[059D4F3E]]] "Ошибка: невозможно извлечь токен Bing из веб-версии."
[[[05AE3DDE]]] "Папьяменто"
[[[05BABF6C]]] "Автоматически определять"
[[[05CC09F9]]] "Самоанский"
[[[05E8409D]]] "Файл проекта не найден"
[[[06168A00]]] "Йоруба"
[[[06230DF9]]] "Мальтийский"
[[[0626C2C1]]] "Входной файл не существует!"
[[[06444FC9]]] "Польский"
[[[064B6438]]] "Ошибка открытия файла для записи"
[[[065574B0]]] "Мьянма"
[[[068D961E]]] "Сесото"
[[[068FF5E1]]] "Выбранный голос"
[[[06904CC8]]] "Синдхи"
[[[06DBF8CE]]] "эсперанто"
[[[06EAA3D9]]] "Левантийский арабский"
